id,text_snippet,labels,cleaned_text,extracted_entities
138,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
139,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
140,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
141,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
142,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
143,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
144,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
145,Can you adjust the price according to our budget?,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
146,We are evaluating pricing models from multiple competitors.,"Pricing Discussion, Competition",evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
147,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
148,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
149,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
150,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
1,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
1,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
3,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
4,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
5,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified,[]
6,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
6,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
8,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
8,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
9,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
10,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
11,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
12,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
14,get discount renewal cost,Objection,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
14,get discount renewal cost,Pricing Discussion,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
17,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
19,get discount renewal cost,Pricing Discussion,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
19,get discount renewal cost,Objection,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
20,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified,[]
22,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
24,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
25,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory,"[{'type': 'competitor', 'value': 'competitorz'}, {'type': 'competitor', 'value': 'competitory'}]"
27,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
28,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
29,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
31,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
33,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
34,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified,[]
35,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
36,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified,[]
38,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory,"[{'type': 'competitor', 'value': 'competitorz'}, {'type': 'competitor', 'value': 'competitory'}]"
40,get discount renewal cost,Objection,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
40,get discount renewal cost,Pricing Discussion,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
41,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
41,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
42,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
43,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
43,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
44,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
46,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
47,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified,[]
50,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
51,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
51,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
53,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'competitory'}, {'type': 'pricing', 'value': 'discount'}]"
54,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
55,get discount renewal cost,Objection,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
56,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
58,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
59,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
60,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
62,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
63,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
64,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory,"[{'type': 'competitor', 'value': 'competitorz'}, {'type': 'competitor', 'value': 'competitory'}]"
65,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
66,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
66,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
68,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
69,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
70,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
70,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
72,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
74,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
76,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
77,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
78,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
79,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
80,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory,"[{'type': 'competitor', 'value': 'competitorz'}, {'type': 'competitor', 'value': 'competitory'}]"
81,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
82,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
85,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'competitory'}, {'type': 'pricing', 'value': 'discount'}]"
86,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
89,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
89,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
91,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'competitory'}, {'type': 'pricing', 'value': 'discount'}]"
92,get discount renewal cost,Objection,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
92,get discount renewal cost,Pricing Discussion,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
94,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
94,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
95,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
96,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
99,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'competitory'}, {'type': 'pricing', 'value': 'discount'}]"
102,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
103,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
103,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
105,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified,[]
106,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
109,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
109,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
110,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
111,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'competitory'}, {'type': 'pricing', 'value': 'discount'}]"
112,get discount renewal cost,Pricing Discussion,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
112,get discount renewal cost,Objection,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
113,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
113,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
114,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'competitory'}, {'type': 'pricing', 'value': 'discount'}]"
117,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified,[]
118,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
118,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
119,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'competitory'}, {'type': 'pricing', 'value': 'discount'}]"
120,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
120,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
121,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'competitory'}, {'type': 'pricing', 'value': 'discount'}]"
123,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
123,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
124,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
125,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
126,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
127,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
129,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory,"[{'type': 'competitor', 'value': 'competitorz'}, {'type': 'competitor', 'value': 'competitory'}]"
130,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
131,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
133,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
134,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
134,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
135,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
136,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
136,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription,"[{'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'competitorx'}, {'type': 'feature', 'value': 'analytics'}]"
139,data needs topnotch security provide us,Security,data needs topnotch security provide us,[]
140,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
142,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
143,secure data pipeline competitors,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
144,ai engine support needs,Objection,ai engine support needs,"[{'type': 'feature', 'value': 'ai engine'}]"
145,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
146,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
149,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
149,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
150,adjust price according budget,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
150,adjust price according budget,Objection,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
